user_id,liked_categories,price_preference,activity_level
user_001,"['Hardware Kiosk', 'Car Wash', 'General Shop', 'Food Vendor', 'Salon', 'Hardware', 'Barbershop', 'Church']",budget,medium
user_002,"['Motorbike Repair', 'Tailor Shop', 'Bakery', 'Electronics Store', 'Cobbler', 'Church', 'Salon', 'Pharmacy', 'Barbershop']",budget,high
user_003,"['Cobbler', 'Car Wash', 'Bakery', 'Tailor Shop', 'Pharmacy', 'Hardware', 'Electronics Store', 'Church', 'Hardware Kiosk', 'Food Vendor', 'Barbershop']",mid,low
user_004,"['Hardware', 'Mobile Money Agent', 'Food Vendor', 'Salon', 'Tailor Shop', 'General Shop', 'Pharmacy', 'Cobbler']",budget,high
user_005,"['Barbershop', 'Hardware Kiosk', 'Food Vendor', 'Pharmacy', 'Salon', 'General Shop', 'Hardware', 'Motorbike Repair', 'Church', 'Bakery', 'Electronics Store', 'Mobile Money Agent']",mid,medium
user_006,"['Church', 'Tailor Shop', 'General Shop', 'Bakery', 'Food Vendor', 'Mobile Money Agent', 'Hardware', 'Cobbler', 'Car Wash', 'Electronics Store']",budget,high
user_007,"['Bakery', 'Motorbike Repair', 'Mobile Money Agent', 'Electronics Store', 'Cobbler', 'Hardware', 'Pharmacy', 'Tailor Shop', 'Barbershop']",budget,medium
user_008,"['Cobbler', 'Hardware', 'General Shop', 'Mobile Money Agent', 'Salon', 'Car Wash', 'Electronics Store', 'Church']",mid,low
user_009,"['Church', 'Cobbler', 'Hardware Kiosk', 'Electronics Store', 'Salon', 'Food Vendor', 'Pharmacy', 'Bakery', 'Car Wash', 'General Shop']",budget,medium
user_010,"['Tailor Shop', 'Car Wash', 'Motorbike Repair', 'Barbershop', 'Mobile Money Agent', 'Hardware Kiosk', 'Hardware', 'Food Vendor', 'Pharmacy', 'Cobbler', 'Salon', 'General Shop']",premium,medium
user_011,"['Motorbike Repair', 'Hardware Kiosk', 'Barbershop', 'Salon', 'Pharmacy', 'Cobbler', 'Mobile Money Agent', 'Hardware', 'Electronics Store', 'Car Wash', 'Bakery', 'General Shop']",budget,high
user_012,"['Pharmacy', 'Electronics Store', 'Barbershop', 'Mobile Money Agent', 'Tailor Shop', 'Bakery', 'Cobbler', 'Motorbike Repair']",budget,medium
user_013,"['Mobile Money Agent', 'Hardware', 'General Shop', 'Pharmacy', 'Motorbike Repair', 'Hardware Kiosk', 'Electronics Store', 'Church']",mid,high
user_014,"['Cobbler', 'Hardware', 'Pharmacy', 'Salon', 'Bakery', 'Mobile Money Agent', 'Car Wash', 'Motorbike Repair', 'General Shop', 'Hardware Kiosk', 'Tailor Shop']",premium,medium
user_015,"['Barbershop', 'Bakery', 'Cobbler', 'Hardware', 'Hardware Kiosk', 'General Shop', 'Car Wash', 'Motorbike Repair', 'Salon']",budget,high
user_016,"['Barbershop', 'Motorbike Repair', 'Hardware Kiosk', 'Food Vendor', 'Hardware', 'Mobile Money Agent', 'Bakery', 'Tailor Shop', 'Church', 'General Shop', 'Salon']",mid,medium
user_017,"['Cobbler', 'Pharmacy', 'Salon', 'Motorbike Repair', 'Barbershop', 'Food Vendor', 'Mobile Money Agent', 'General Shop']",mid,low
